Event,Year,Month,Day,Company Name,Ticker,Market,Industry,Country
US implemented universal tariffs on solar panel and washing machines imports,2018,2,7,Alibaba Group Holding Ltd. ADR,BABA,^DJI,Retail/Wholesale,China
US implemented universal tariffs on solar panel and washing machines imports,2018,2,7,Baidu Inc. ADR,BIDU,^IXIC,Technology,China
US implemented universal tariffs on solar panel and washing machines imports,2018,2,7,Weibo Corp. ADR,WB,^IXIC,Technology,China
US implemented universal tariffs on solar panel and washing machines imports,2018,2,7,China Telecom Corp. Ltd. ADR,CHA,^DJI,Telecom,China
US implemented universal tariffs on solar panel and washing machines imports,2018,2,7,China Southern Airlines Co. Ltd. ADR,ZNH,^DJI,Transportation/Logistics,China
"Trump signed memo to: 1. file a WTO case against China, 2. restrict Chinese investment in tech, 3. to impose tariff on aerospace, info technology and machinery",2018,3,22,DowDuPont Inc.,DWDP,^DJI,Basic Materials (Chemicals),U.S.
"Trump signed memo to: 1. file a WTO case against China, 2. restrict Chinese investment in tech, 3. to impose tariff on aerospace, info technology and machinery",2018,3,22,3M Co.,MMM,^DJI,Business/Consumer Services,U.S.
"Trump signed memo to: 1. file a WTO case against China, 2. restrict Chinese investment in tech, 3. to impose tariff on aerospace, info technology and machinery",2018,3,22,International Business Machines Corp.,IBM,^DJI,Business/Consumer Services,U.S.
"Trump signed memo to: 1. file a WTO case against China, 2. restrict Chinese investment in tech, 3. to impose tariff on aerospace, info technology and machinery",2018,3,22,Exxon Mobil Corp.,XOM,^DJI,Energy,U.S.
"Trump signed memo to: 1. file a WTO case against China, 2. restrict Chinese investment in tech, 3. to impose tariff on aerospace, info technology and machinery",2018,3,22,Chevron Corp.,CVX,^DJI,Energy,U.S.
"Trump signed memo to: 1. file a WTO case against China, 2. restrict Chinese investment in tech, 3. to impose tariff on aerospace, info technology and machinery",2018,3,22,Procter & Gamble Co.,PG,^DJI,Consumer Goods,U.S.
"Trump signed memo to: 1. file a WTO case against China, 2. restrict Chinese investment in tech, 3. to impose tariff on aerospace, info technology and machinery",2018,3,22,Nike Inc. Cl B,NKE,^DJI,Consumer Goods,U.S.
"Trump signed memo to: 1. file a WTO case against China, 2. restrict Chinese investment in tech, 3. to impose tariff on aerospace, info technology and machinery",2018,3,22,Coca-Cola Co.,KO,^DJI,Consumer Goods,U.S.
"Trump signed memo to: 1. file a WTO case against China, 2. restrict Chinese investment in tech, 3. to impose tariff on aerospace, info technology and machinery",2018,3,22,American Express Co.,AXP,^DJI,Financial Services,U.S.
"Trump signed memo to: 1. file a WTO case against China, 2. restrict Chinese investment in tech, 3. to impose tariff on aerospace, info technology and machinery",2018,3,22,VISA Inc. Cl A,V,^DJI,Financial Services,U.S.
"Trump signed memo to: 1. file a WTO case against China, 2. restrict Chinese investment in tech, 3. to impose tariff on aerospace, info technology and machinery",2018,3,22,Goldman Sachs Group Inc.,GS,^DJI,Financial Services,U.S.
"Trump signed memo to: 1. file a WTO case against China, 2. restrict Chinese investment in tech, 3. to impose tariff on aerospace, info technology and machinery",2018,3,22,UnitedHealth Group Inc.,UNH,^DJI,Financial Services,U.S.
"Trump signed memo to: 1. file a WTO case against China, 2. restrict Chinese investment in tech, 3. to impose tariff on aerospace, info technology and machinery",2018,3,22,JPMorgan Chase & Co.,JPM,^DJI,Financial Services,U.S.
"Trump signed memo to: 1. file a WTO case against China, 2. restrict Chinese investment in tech, 3. to impose tariff on aerospace, info technology and machinery",2018,3,22,Travelers Cos. Inc.,TRV,^DJI,Financial Services,U.S.
"Trump signed memo to: 1. file a WTO case against China, 2. restrict Chinese investment in tech, 3. to impose tariff on aerospace, info technology and machinery",2018,3,22,Johnson & Johnson,JNJ,^DJI,Health Care/Life Sciences,U.S.
"Trump signed memo to: 1. file a WTO case against China, 2. restrict Chinese investment in tech, 3. to impose tariff on aerospace, info technology and machinery",2018,3,22,Merck & Co. Inc.,MRK,^DJI,Health Care/Life Sciences,U.S.
"Trump signed memo to: 1. file a WTO case against China, 2. restrict Chinese investment in tech, 3. to impose tariff on aerospace, info technology and machinery",2018,3,22,Pfizer Inc.,PFE,^DJI,Health Care/Life Sciences,U.S.
"Trump signed memo to: 1. file a WTO case against China, 2. restrict Chinese investment in tech, 3. to impose tariff on aerospace, info technology and machinery",2018,3,22,United Technologies Corp.,UTX,^DJI,Industrial Goods,U.S.
"Trump signed memo to: 1. file a WTO case against China, 2. restrict Chinese investment in tech, 3. to impose tariff on aerospace, info technology and machinery",2018,3,22,Caterpillar Inc.,CAT,^DJI,Industrial Goods,U.S.
"Trump signed memo to: 1. file a WTO case against China, 2. restrict Chinese investment in tech, 3. to impose tariff on aerospace, info technology and machinery",2018,3,22,Boeing Co.,BA,^DJI,Industrial Goods,U.S.
"Trump signed memo to: 1. file a WTO case against China, 2. restrict Chinese investment in tech, 3. to impose tariff on aerospace, info technology and machinery",2018,3,22,McDonald's Corp.,MCD,^DJI,Leisure/Arts/Hospitality,U.S.
"Trump signed memo to: 1. file a WTO case against China, 2. restrict Chinese investment in tech, 3. to impose tariff on aerospace, info technology and machinery",2018,3,22,Walt Disney Co.,DIS,^DJI,Media/Entertainment,U.S.
"Trump signed memo to: 1. file a WTO case against China, 2. restrict Chinese investment in tech, 3. to impose tariff on aerospace, info technology and machinery",2018,3,22,Home Depot Inc.,HD,^DJI,Retail/Wholesale,U.S.
"Trump signed memo to: 1. file a WTO case against China, 2. restrict Chinese investment in tech, 3. to impose tariff on aerospace, info technology and machinery",2018,3,22,Walgreens Boots Alliance Inc.,WBA,^IXIC,Retail/Wholesale,U.S.
"Trump signed memo to: 1. file a WTO case against China, 2. restrict Chinese investment in tech, 3. to impose tariff on aerospace, info technology and machinery",2018,3,22,Walmart Inc.,WMT,^DJI,Retail/Wholesale,U.S.
"Trump signed memo to: 1. file a WTO case against China, 2. restrict Chinese investment in tech, 3. to impose tariff on aerospace, info technology and machinery",2018,3,22,Intel Corp.,INTC,^DJI,Technology,U.S.
"Trump signed memo to: 1. file a WTO case against China, 2. restrict Chinese investment in tech, 3. to impose tariff on aerospace, info technology and machinery",2018,3,22,Microsoft Corp.,MSFT,^IXIC,Technology,U.S.
"Trump signed memo to: 1. file a WTO case against China, 2. restrict Chinese investment in tech, 3. to impose tariff on aerospace, info technology and machinery",2018,3,22,Cisco Systems Inc.,CSCO,^IXIC,Technology,U.S.
"Trump signed memo to: 1. file a WTO case against China, 2. restrict Chinese investment in tech, 3. to impose tariff on aerospace, info technology and machinery",2018,3,22,Apple Inc.,AAPL,^IXIC,Technology,U.S.
"Trump signed memo to: 1. file a WTO case against China, 2. restrict Chinese investment in tech, 3. to impose tariff on aerospace, info technology and machinery",2018,3,22,Verizon Communications Inc.,VZ,^DJI,Telecom,U.S.
"Trump signed memo to: 1. file a WTO case against China, 2. restrict Chinese investment in tech, 3. to impose tariff on aerospace, info technology and machinery",2018,3,22,New Oriental Education & Technology Group Inc. ADR,EDU,^DJI,Business/Consumer Services,China
"Trump signed memo to: 1. file a WTO case against China, 2. restrict Chinese investment in tech, 3. to impose tariff on aerospace, info technology and machinery",2018,3,22,China Petroleum & Chemical Corp. ADR,SNP,^DJI,Energy,China
"Trump signed memo to: 1. file a WTO case against China, 2. restrict Chinese investment in tech, 3. to impose tariff on aerospace, info technology and machinery",2018,3,22,PetroChina Co. Ltd. ADR,PTR,^DJI,Energy,China
"Trump signed memo to: 1. file a WTO case against China, 2. restrict Chinese investment in tech, 3. to impose tariff on aerospace, info technology and machinery",2018,3,22,China Life Insurance Co. Ltd. ADR,LFC,^DJI,Financial Services,China
"Trump signed memo to: 1. file a WTO case against China, 2. restrict Chinese investment in tech, 3. to impose tariff on aerospace, info technology and machinery",2018,3,22,Phoenix New Media Ltd. Cl A ADR,FENG,^DJI,Media/Entertainment,China
"Trump signed memo to: 1. file a WTO case against China, 2. restrict Chinese investment in tech, 3. to impose tariff on aerospace, info technology and machinery",2018,3,22,Alibaba Group Holding Ltd. ADR,BABA,^DJI,Retail/Wholesale,China
"Trump signed memo to: 1. file a WTO case against China, 2. restrict Chinese investment in tech, 3. to impose tariff on aerospace, info technology and machinery",2018,3,22,Baidu Inc. ADR,BIDU,^IXIC,Technology,China
"Trump signed memo to: 1. file a WTO case against China, 2. restrict Chinese investment in tech, 3. to impose tariff on aerospace, info technology and machinery",2018,3,22,Weibo Corp. ADR,WB,^IXIC,Technology,China
"Trump signed memo to: 1. file a WTO case against China, 2. restrict Chinese investment in tech, 3. to impose tariff on aerospace, info technology and machinery",2018,3,22,China Telecom Corp. Ltd. ADR,CHA,^DJI,Telecom,China
"Trump signed memo to: 1. file a WTO case against China, 2. restrict Chinese investment in tech, 3. to impose tariff on aerospace, info technology and machinery",2018,3,22,China Southern Airlines Co. Ltd. ADR,ZNH,^DJI,Transportation/Logistics,China
US imposed 25% tariff on steel imports and 10% tariff on alumnimum imports,2018,3,23,DowDuPont Inc.,DWDP,^DJI,Basic Materials (Chemicals),U.S.
US imposed 25% tariff on steel imports and 10% tariff on alumnimum imports,2018,3,23,3M Co.,MMM,^DJI,Business/Consumer Services,U.S.
US imposed 25% tariff on steel imports and 10% tariff on alumnimum imports,2018,3,23,International Business Machines Corp.,IBM,^DJI,Business/Consumer Services,U.S.
US imposed 25% tariff on steel imports and 10% tariff on alumnimum imports,2018,3,23,Exxon Mobil Corp.,XOM,^DJI,Energy,U.S.
US imposed 25% tariff on steel imports and 10% tariff on alumnimum imports,2018,3,23,Chevron Corp.,CVX,^DJI,Energy,U.S.
US imposed 25% tariff on steel imports and 10% tariff on alumnimum imports,2018,3,23,Procter & Gamble Co.,PG,^DJI,Consumer Goods,U.S.
US imposed 25% tariff on steel imports and 10% tariff on alumnimum imports,2018,3,23,Nike Inc. Cl B,NKE,^DJI,Consumer Goods,U.S.
US imposed 25% tariff on steel imports and 10% tariff on alumnimum imports,2018,3,23,Coca-Cola Co.,KO,^DJI,Consumer Goods,U.S.
US imposed 25% tariff on steel imports and 10% tariff on alumnimum imports,2018,3,23,American Express Co.,AXP,^DJI,Financial Services,U.S.
US imposed 25% tariff on steel imports and 10% tariff on alumnimum imports,2018,3,23,VISA Inc. Cl A,V,^DJI,Financial Services,U.S.
US imposed 25% tariff on steel imports and 10% tariff on alumnimum imports,2018,3,23,Goldman Sachs Group Inc.,GS,^DJI,Financial Services,U.S.
US imposed 25% tariff on steel imports and 10% tariff on alumnimum imports,2018,3,23,UnitedHealth Group Inc.,UNH,^DJI,Financial Services,U.S.
US imposed 25% tariff on steel imports and 10% tariff on alumnimum imports,2018,3,23,JPMorgan Chase & Co.,JPM,^DJI,Financial Services,U.S.
US imposed 25% tariff on steel imports and 10% tariff on alumnimum imports,2018,3,23,Travelers Cos. Inc.,TRV,^DJI,Financial Services,U.S.
US imposed 25% tariff on steel imports and 10% tariff on alumnimum imports,2018,3,23,Johnson & Johnson,JNJ,^DJI,Health Care/Life Sciences,U.S.
US imposed 25% tariff on steel imports and 10% tariff on alumnimum imports,2018,3,23,Merck & Co. Inc.,MRK,^DJI,Health Care/Life Sciences,U.S.
US imposed 25% tariff on steel imports and 10% tariff on alumnimum imports,2018,3,23,Pfizer Inc.,PFE,^DJI,Health Care/Life Sciences,U.S.
US imposed 25% tariff on steel imports and 10% tariff on alumnimum imports,2018,3,23,United Technologies Corp.,UTX,^DJI,Industrial Goods,U.S.
US imposed 25% tariff on steel imports and 10% tariff on alumnimum imports,2018,3,23,Caterpillar Inc.,CAT,^DJI,Industrial Goods,U.S.
US imposed 25% tariff on steel imports and 10% tariff on alumnimum imports,2018,3,23,Boeing Co.,BA,^DJI,Industrial Goods,U.S.
US imposed 25% tariff on steel imports and 10% tariff on alumnimum imports,2018,3,23,McDonald's Corp.,MCD,^DJI,Leisure/Arts/Hospitality,U.S.
US imposed 25% tariff on steel imports and 10% tariff on alumnimum imports,2018,3,23,Walt Disney Co.,DIS,^DJI,Media/Entertainment,U.S.
US imposed 25% tariff on steel imports and 10% tariff on alumnimum imports,2018,3,23,Home Depot Inc.,HD,^DJI,Retail/Wholesale,U.S.
US imposed 25% tariff on steel imports and 10% tariff on alumnimum imports,2018,3,23,Walgreens Boots Alliance Inc.,WBA,^IXIC,Retail/Wholesale,U.S.
US imposed 25% tariff on steel imports and 10% tariff on alumnimum imports,2018,3,23,Walmart Inc.,WMT,^DJI,Retail/Wholesale,U.S.
US imposed 25% tariff on steel imports and 10% tariff on alumnimum imports,2018,3,23,Intel Corp.,INTC,^DJI,Technology,U.S.
US imposed 25% tariff on steel imports and 10% tariff on alumnimum imports,2018,3,23,Microsoft Corp.,MSFT,^IXIC,Technology,U.S.
US imposed 25% tariff on steel imports and 10% tariff on alumnimum imports,2018,3,23,Cisco Systems Inc.,CSCO,^IXIC,Technology,U.S.
US imposed 25% tariff on steel imports and 10% tariff on alumnimum imports,2018,3,23,Apple Inc.,AAPL,^IXIC,Technology,U.S.
US imposed 25% tariff on steel imports and 10% tariff on alumnimum imports,2018,3,23,Verizon Communications Inc.,VZ,^DJI,Telecom,U.S.
US imposed 25% tariff on steel imports and 10% tariff on alumnimum imports,2018,3,23,New Oriental Education & Technology Group Inc. ADR,EDU,^DJI,Business/Consumer Services,China
US imposed 25% tariff on steel imports and 10% tariff on alumnimum imports,2018,3,23,China Petroleum & Chemical Corp. ADR,SNP,^DJI,Energy,China
US imposed 25% tariff on steel imports and 10% tariff on alumnimum imports,2018,3,23,PetroChina Co. Ltd. ADR,PTR,^DJI,Energy,China
US imposed 25% tariff on steel imports and 10% tariff on alumnimum imports,2018,3,23,China Life Insurance Co. Ltd. ADR,LFC,^DJI,Financial Services,China
US imposed 25% tariff on steel imports and 10% tariff on alumnimum imports,2018,3,23,Phoenix New Media Ltd. Cl A ADR,FENG,^DJI,Media/Entertainment,China
US imposed 25% tariff on steel imports and 10% tariff on alumnimum imports,2018,3,23,Alibaba Group Holding Ltd. ADR,BABA,^DJI,Retail/Wholesale,China
US imposed 25% tariff on steel imports and 10% tariff on alumnimum imports,2018,3,23,Baidu Inc. ADR,BIDU,^IXIC,Technology,China
US imposed 25% tariff on steel imports and 10% tariff on alumnimum imports,2018,3,23,Weibo Corp. ADR,WB,^IXIC,Technology,China
US imposed 25% tariff on steel imports and 10% tariff on alumnimum imports,2018,3,23,China Telecom Corp. Ltd. ADR,CHA,^DJI,Telecom,China
US imposed 25% tariff on steel imports and 10% tariff on alumnimum imports,2018,3,23,China Southern Airlines Co. Ltd. ADR,ZNH,^DJI,Transportation/Logistics,China
"China imposed 15-25% tariff on 128 products ($3b) mainly fruit, wine, pork, etc to retaliate ",2018,4,2,DowDuPont Inc.,DWDP,^DJI,Basic Materials (Chemicals),U.S.
"China imposed 15-25% tariff on 128 products ($3b) mainly fruit, wine, pork, etc to retaliate ",2018,4,2,3M Co.,MMM,^DJI,Business/Consumer Services,U.S.
"China imposed 15-25% tariff on 128 products ($3b) mainly fruit, wine, pork, etc to retaliate ",2018,4,2,International Business Machines Corp.,IBM,^DJI,Business/Consumer Services,U.S.
"China imposed 15-25% tariff on 128 products ($3b) mainly fruit, wine, pork, etc to retaliate ",2018,4,2,Exxon Mobil Corp.,XOM,^DJI,Energy,U.S.
"China imposed 15-25% tariff on 128 products ($3b) mainly fruit, wine, pork, etc to retaliate ",2018,4,2,Chevron Corp.,CVX,^DJI,Energy,U.S.
"China imposed 15-25% tariff on 128 products ($3b) mainly fruit, wine, pork, etc to retaliate ",2018,4,2,Procter & Gamble Co.,PG,^DJI,Consumer Goods,U.S.
"China imposed 15-25% tariff on 128 products ($3b) mainly fruit, wine, pork, etc to retaliate ",2018,4,2,Nike Inc. Cl B,NKE,^DJI,Consumer Goods,U.S.
"China imposed 15-25% tariff on 128 products ($3b) mainly fruit, wine, pork, etc to retaliate ",2018,4,2,Coca-Cola Co.,KO,^DJI,Consumer Goods,U.S.
"China imposed 15-25% tariff on 128 products ($3b) mainly fruit, wine, pork, etc to retaliate ",2018,4,2,American Express Co.,AXP,^DJI,Financial Services,U.S.
"China imposed 15-25% tariff on 128 products ($3b) mainly fruit, wine, pork, etc to retaliate ",2018,4,2,VISA Inc. Cl A,V,^DJI,Financial Services,U.S.
"China imposed 15-25% tariff on 128 products ($3b) mainly fruit, wine, pork, etc to retaliate ",2018,4,2,Goldman Sachs Group Inc.,GS,^DJI,Financial Services,U.S.
"China imposed 15-25% tariff on 128 products ($3b) mainly fruit, wine, pork, etc to retaliate ",2018,4,2,UnitedHealth Group Inc.,UNH,^DJI,Financial Services,U.S.
"China imposed 15-25% tariff on 128 products ($3b) mainly fruit, wine, pork, etc to retaliate ",2018,4,2,JPMorgan Chase & Co.,JPM,^DJI,Financial Services,U.S.
"China imposed 15-25% tariff on 128 products ($3b) mainly fruit, wine, pork, etc to retaliate ",2018,4,2,Travelers Cos. Inc.,TRV,^DJI,Financial Services,U.S.
"China imposed 15-25% tariff on 128 products ($3b) mainly fruit, wine, pork, etc to retaliate ",2018,4,2,Johnson & Johnson,JNJ,^DJI,Health Care/Life Sciences,U.S.
"China imposed 15-25% tariff on 128 products ($3b) mainly fruit, wine, pork, etc to retaliate ",2018,4,2,Merck & Co. Inc.,MRK,^DJI,Health Care/Life Sciences,U.S.
"China imposed 15-25% tariff on 128 products ($3b) mainly fruit, wine, pork, etc to retaliate ",2018,4,2,Pfizer Inc.,PFE,^DJI,Health Care/Life Sciences,U.S.
"China imposed 15-25% tariff on 128 products ($3b) mainly fruit, wine, pork, etc to retaliate ",2018,4,2,United Technologies Corp.,UTX,^DJI,Industrial Goods,U.S.
"China imposed 15-25% tariff on 128 products ($3b) mainly fruit, wine, pork, etc to retaliate ",2018,4,2,Caterpillar Inc.,CAT,^DJI,Industrial Goods,U.S.
"China imposed 15-25% tariff on 128 products ($3b) mainly fruit, wine, pork, etc to retaliate ",2018,4,2,Boeing Co.,BA,^DJI,Industrial Goods,U.S.
"China imposed 15-25% tariff on 128 products ($3b) mainly fruit, wine, pork, etc to retaliate ",2018,4,2,McDonald's Corp.,MCD,^DJI,Leisure/Arts/Hospitality,U.S.
"China imposed 15-25% tariff on 128 products ($3b) mainly fruit, wine, pork, etc to retaliate ",2018,4,2,Walt Disney Co.,DIS,^DJI,Media/Entertainment,U.S.
"China imposed 15-25% tariff on 128 products ($3b) mainly fruit, wine, pork, etc to retaliate ",2018,4,2,Home Depot Inc.,HD,^DJI,Retail/Wholesale,U.S.
"China imposed 15-25% tariff on 128 products ($3b) mainly fruit, wine, pork, etc to retaliate ",2018,4,2,Walgreens Boots Alliance Inc.,WBA,^IXIC,Retail/Wholesale,U.S.
"China imposed 15-25% tariff on 128 products ($3b) mainly fruit, wine, pork, etc to retaliate ",2018,4,2,Walmart Inc.,WMT,^DJI,Retail/Wholesale,U.S.
"China imposed 15-25% tariff on 128 products ($3b) mainly fruit, wine, pork, etc to retaliate ",2018,4,2,Intel Corp.,INTC,^DJI,Technology,U.S.
"China imposed 15-25% tariff on 128 products ($3b) mainly fruit, wine, pork, etc to retaliate ",2018,4,2,Microsoft Corp.,MSFT,^IXIC,Technology,U.S.
"China imposed 15-25% tariff on 128 products ($3b) mainly fruit, wine, pork, etc to retaliate ",2018,4,2,Cisco Systems Inc.,CSCO,^IXIC,Technology,U.S.
"China imposed 15-25% tariff on 128 products ($3b) mainly fruit, wine, pork, etc to retaliate ",2018,4,2,Apple Inc.,AAPL,^IXIC,Technology,U.S.
"China imposed 15-25% tariff on 128 products ($3b) mainly fruit, wine, pork, etc to retaliate ",2018,4,2,Verizon Communications Inc.,VZ,^DJI,Telecom,U.S.
"China imposed 15-25% tariff on 128 products ($3b) mainly fruit, wine, pork, etc to retaliate ",2018,4,2,New Oriental Education & Technology Group Inc. ADR,EDU,^DJI,Business/Consumer Services,China
"China imposed 15-25% tariff on 128 products ($3b) mainly fruit, wine, pork, etc to retaliate ",2018,4,2,China Petroleum & Chemical Corp. ADR,SNP,^DJI,Energy,China
"China imposed 15-25% tariff on 128 products ($3b) mainly fruit, wine, pork, etc to retaliate ",2018,4,2,PetroChina Co. Ltd. ADR,PTR,^DJI,Energy,China
"China imposed 15-25% tariff on 128 products ($3b) mainly fruit, wine, pork, etc to retaliate ",2018,4,2,China Life Insurance Co. Ltd. ADR,LFC,^DJI,Financial Services,China
"China imposed 15-25% tariff on 128 products ($3b) mainly fruit, wine, pork, etc to retaliate ",2018,4,2,Phoenix New Media Ltd. Cl A ADR,FENG,^DJI,Media/Entertainment,China
"China imposed 15-25% tariff on 128 products ($3b) mainly fruit, wine, pork, etc to retaliate ",2018,4,2,Alibaba Group Holding Ltd. ADR,BABA,^DJI,Retail/Wholesale,China
"China imposed 15-25% tariff on 128 products ($3b) mainly fruit, wine, pork, etc to retaliate ",2018,4,2,Baidu Inc. ADR,BIDU,^IXIC,Technology,China
"China imposed 15-25% tariff on 128 products ($3b) mainly fruit, wine, pork, etc to retaliate ",2018,4,2,Weibo Corp. ADR,WB,^IXIC,Technology,China
"China imposed 15-25% tariff on 128 products ($3b) mainly fruit, wine, pork, etc to retaliate ",2018,4,2,China Telecom Corp. Ltd. ADR,CHA,^DJI,Telecom,China
"China imposed 15-25% tariff on 128 products ($3b) mainly fruit, wine, pork, etc to retaliate ",2018,4,2,China Southern Airlines Co. Ltd. ADR,ZNH,^DJI,Transportation/Logistics,China
"USTR (trade rep) released a list of 1,334 products ($50b) subject to 25% tariff",2018,4,3,DowDuPont Inc.,DWDP,^DJI,Basic Materials (Chemicals),U.S.
"USTR (trade rep) released a list of 1,334 products ($50b) subject to 25% tariff",2018,4,3,3M Co.,MMM,^DJI,Business/Consumer Services,U.S.
"USTR (trade rep) released a list of 1,334 products ($50b) subject to 25% tariff",2018,4,3,International Business Machines Corp.,IBM,^DJI,Business/Consumer Services,U.S.
"USTR (trade rep) released a list of 1,334 products ($50b) subject to 25% tariff",2018,4,3,Exxon Mobil Corp.,XOM,^DJI,Energy,U.S.
"USTR (trade rep) released a list of 1,334 products ($50b) subject to 25% tariff",2018,4,3,Chevron Corp.,CVX,^DJI,Energy,U.S.
"USTR (trade rep) released a list of 1,334 products ($50b) subject to 25% tariff",2018,4,3,Procter & Gamble Co.,PG,^DJI,Consumer Goods,U.S.
"USTR (trade rep) released a list of 1,334 products ($50b) subject to 25% tariff",2018,4,3,Nike Inc. Cl B,NKE,^DJI,Consumer Goods,U.S.
"USTR (trade rep) released a list of 1,334 products ($50b) subject to 25% tariff",2018,4,3,Coca-Cola Co.,KO,^DJI,Consumer Goods,U.S.
"USTR (trade rep) released a list of 1,334 products ($50b) subject to 25% tariff",2018,4,3,American Express Co.,AXP,^DJI,Financial Services,U.S.
"USTR (trade rep) released a list of 1,334 products ($50b) subject to 25% tariff",2018,4,3,VISA Inc. Cl A,V,^DJI,Financial Services,U.S.
"USTR (trade rep) released a list of 1,334 products ($50b) subject to 25% tariff",2018,4,3,Goldman Sachs Group Inc.,GS,^DJI,Financial Services,U.S.
"USTR (trade rep) released a list of 1,334 products ($50b) subject to 25% tariff",2018,4,3,UnitedHealth Group Inc.,UNH,^DJI,Financial Services,U.S.
"USTR (trade rep) released a list of 1,334 products ($50b) subject to 25% tariff",2018,4,3,JPMorgan Chase & Co.,JPM,^DJI,Financial Services,U.S.
"USTR (trade rep) released a list of 1,334 products ($50b) subject to 25% tariff",2018,4,3,Travelers Cos. Inc.,TRV,^DJI,Financial Services,U.S.
